特定配置SyNG-BTS实验记录
配置: READ/UCS/KICH + TC标准化 + CVAE1-10模型 + 三种off_aug方法
格式: 癌症种类-TC-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
READ-TC-batch7-Gaussian-success|2025-10-24 16:30:12|0:00:38|11.1%|20/180
READ-TC-batch8-None-success|2025-10-24 16:30:42|0:00:30|11.7%|21/180
READ-TC-batch8-AE_head-success|2025-10-24 16:31:40|0:00:57|12.2%|22/180
READ-TC-batch8-Gaussian-success|2025-10-24 16:32:16|0:00:35|12.8%|23/180
READ-TC-batch9-None-success|2025-10-24 16:32:48|0:00:32|13.3%|24/180
READ-TC-batch9-AE_head-success|2025-10-24 16:33:45|0:00:57|13.9%|25/180
READ-TC-batch9-Gaussian-success|2025-10-24 16:34:22|0:00:36|14.4%|26/180
READ-TC-batch10-None-success|2025-10-24 16:34:55|0:00:32|15.0%|27/180
READ-TC-batch10-AE_head-success|2025-10-24 16:35:51|0:00:55|15.6%|28/180
READ-TC-batch10-Gaussian-success|2025-10-24 16:36:27|0:00:36|16.1%|29/180
READ-TC-batch11-None-success|2025-10-24 16:36:59|0:00:32|16.7%|30/180
READ-TC-batch11-AE_head-success|2025-10-24 16:37:56|0:00:56|17.2%|31/180
READ-TC-batch11-Gaussian-success|2025-10-24 16:38:33|0:00:36|17.8%|32/180
READ-TC-batch12-None-success|2025-10-24 16:39:04|0:00:30|18.3%|33/180
READ-TC-batch12-AE_head-success|2025-10-24 16:39:58|0:00:54|18.9%|34/180
READ-TC-batch12-Gaussian-success|2025-10-24 16:40:33|0:00:34|19.4%|35/180
READ-TC-batch13-None-success|2025-10-24 16:41:05|0:00:32|20.0%|36/180
READ-TC-batch13-AE_head-success|2025-10-24 16:42:00|0:00:54|20.6%|37/180
READ-TC-batch13-Gaussian-success|2025-10-24 16:42:36|0:00:36|21.1%|38/180
READ-TC-batch14-None-success|2025-10-24 16:43:06|0:00:29|21.7%|39/180
READ-TC-batch14-AE_head-success|2025-10-24 16:43:59|0:00:52|22.2%|40/180
READ-TC-batch14-Gaussian-success|2025-10-24 16:44:34|0:00:35|22.8%|41/180
READ-TC-batch15-None-success|2025-10-24 16:45:06|0:00:32|23.3%|42/180
READ-TC-batch15-AE_head-success|2025-10-24 16:46:01|0:00:54|23.9%|43/180
READ-TC-batch15-Gaussian-success|2025-10-24 16:46:38|0:00:36|24.4%|44/180
READ-TC-batch16-None-success|2025-10-24 16:47:09|0:00:30|25.0%|45/180
READ-TC-batch16-AE_head-success|2025-10-24 16:48:03|0:00:54|25.6%|46/180
READ-TC-batch16-Gaussian-success|2025-10-24 16:48:39|0:00:35|26.1%|47/180
READ-TC-batch17-None-success|2025-10-24 16:49:12|0:00:32|26.7%|48/180
READ-TC-batch17-AE_head-success|2025-10-24 16:50:13|0:01:00|27.2%|49/180
READ-TC-batch17-Gaussian-success|2025-10-24 16:50:49|0:00:36|27.8%|50/180
READ-TC-batch18-None-success|2025-10-24 16:51:22|0:00:33|28.3%|51/180
READ-TC-batch18-AE_head-success|2025-10-24 16:52:19|0:00:56|28.9%|52/180
READ-TC-batch18-Gaussian-success|2025-10-24 16:52:56|0:00:36|29.4%|53/180
READ-TC-batch19-None-success|2025-10-24 16:53:28|0:00:32|30.0%|54/180
READ-TC-batch19-AE_head-success|2025-10-24 16:54:31|0:01:02|30.6%|55/180
READ-TC-batch19-Gaussian-success|2025-10-24 16:55:08|0:00:37|31.1%|56/180
READ-TC-batch20-None-success|2025-10-24 16:55:41|0:00:32|31.7%|57/180
READ-TC-batch20-AE_head-success|2025-10-24 16:56:42|0:01:00|32.2%|58/180
READ-TC-batch20-Gaussian-success|2025-10-24 16:57:20|0:00:38|32.8%|59/180
UCS-TC-batch1-None-success|2025-10-24 16:57:50|0:00:29|33.3%|60/180
UCS-TC-batch1-AE_head-success|2025-10-24 16:58:49|0:00:58|33.9%|61/180
UCS-TC-batch1-Gaussian-success|2025-10-24 16:59:29|0:00:40|34.4%|62/180
UCS-TC-batch2-None-success|2025-10-24 17:00:04|0:00:35|35.0%|63/180
UCS-TC-batch2-AE_head-success|2025-10-24 17:01:00|0:00:55|35.6%|64/180
UCS-TC-batch2-Gaussian-success|2025-10-24 17:01:40|0:00:40|36.1%|65/180
UCS-TC-batch3-None-success|2025-10-24 17:02:13|0:00:33|36.7%|66/180
UCS-TC-batch3-AE_head-success|2025-10-24 17:03:14|0:01:00|37.2%|67/180
UCS-TC-batch3-Gaussian-success|2025-10-24 17:03:49|0:00:35|37.8%|68/180
UCS-TC-batch4-None-success|2025-10-24 17:04:21|0:00:32|38.3%|69/180
UCS-TC-batch4-AE_head-success|2025-10-24 17:05:20|0:00:58|38.9%|70/180
UCS-TC-batch4-Gaussian-success|2025-10-24 17:06:03|0:00:43|39.4%|71/180
UCS-TC-batch5-None-success|2025-10-24 17:06:42|0:00:39|40.0%|72/180
UCS-TC-batch5-AE_head-success|2025-10-24 17:07:49|0:01:07|40.6%|73/180
UCS-TC-batch5-Gaussian-success|2025-10-24 17:08:31|0:00:41|41.1%|74/180
UCS-TC-batch6-None-success|2025-10-24 17:09:05|0:00:34|41.7%|75/180
UCS-TC-batch6-AE_head-success|2025-10-24 17:10:14|0:01:08|42.2%|76/180
UCS-TC-batch6-Gaussian-success|2025-10-24 17:10:55|0:00:41|42.8%|77/180
UCS-TC-batch7-None-success|2025-10-24 17:11:30|0:00:34|43.3%|78/180
UCS-TC-batch7-AE_head-success|2025-10-24 17:12:30|0:00:59|43.9%|79/180
UCS-TC-batch7-Gaussian-success|2025-10-24 17:13:14|0:00:43|44.4%|80/180
UCS-TC-batch8-None-success|2025-10-24 17:13:54|0:00:40|45.0%|81/180
UCS-TC-batch8-AE_head-success|2025-10-24 17:15:07|0:01:13|45.6%|82/180
UCS-TC-batch8-Gaussian-success|2025-10-24 17:15:56|0:00:48|46.1%|83/180
UCS-TC-batch9-None-success|2025-10-24 17:16:35|0:00:39|46.7%|84/180
UCS-TC-batch9-AE_head-success|2025-10-24 17:17:44|0:01:09|47.2%|85/180
UCS-TC-batch9-Gaussian-success|2025-10-24 17:18:29|0:00:45|47.8%|86/180
UCS-TC-batch10-None-success|2025-10-24 17:19:06|0:00:36|48.3%|87/180
UCS-TC-batch10-AE_head-success|2025-10-24 17:20:07|0:01:01|48.9%|88/180
UCS-TC-batch10-Gaussian-success|2025-10-24 17:20:49|0:00:41|49.4%|89/180
UCS-TC-batch11-None-success|2025-10-24 17:21:26|0:00:36|50.0%|90/180
UCS-TC-batch11-AE_head-success|2025-10-24 17:22:33|0:01:07|50.6%|91/180
UCS-TC-batch11-Gaussian-success|2025-10-24 17:23:11|0:00:37|51.1%|92/180
UCS-TC-batch12-None-success|2025-10-24 17:23:46|0:00:34|51.7%|93/180
UCS-TC-batch12-AE_head-success|2025-10-24 17:24:55|0:01:09|52.2%|94/180
UCS-TC-batch12-Gaussian-success|2025-10-24 17:25:37|0:00:42|52.8%|95/180
UCS-TC-batch13-None-success|2025-10-24 17:26:09|0:00:32|53.3%|96/180
UCS-TC-batch13-AE_head-success|2025-10-24 17:27:10|0:01:00|53.9%|97/180
UCS-TC-batch13-Gaussian-success|2025-10-24 17:27:50|0:00:39|54.4%|98/180
UCS-TC-batch14-None-success|2025-10-24 17:28:22|0:00:32|55.0%|99/180
UCS-TC-batch14-AE_head-success|2025-10-24 17:29:21|0:00:58|55.6%|100/180
UCS-TC-batch14-Gaussian-success|2025-10-24 17:30:05|0:00:43|56.1%|101/180
UCS-TC-batch15-None-success|2025-10-24 17:30:39|0:00:33|56.7%|102/180
UCS-TC-batch15-AE_head-success|2025-10-24 17:31:36|0:00:57|57.2%|103/180
UCS-TC-batch15-Gaussian-success|2025-10-24 17:32:14|0:00:38|57.8%|104/180
UCS-TC-batch16-None-success|2025-10-24 17:32:46|0:00:31|58.3%|105/180
UCS-TC-batch16-AE_head-success|2025-10-24 17:33:43|0:00:57|58.9%|106/180
UCS-TC-batch16-Gaussian-success|2025-10-24 17:34:24|0:00:40|59.4%|107/180
UCS-TC-batch17-None-success|2025-10-24 17:34:54|0:00:29|60.0%|108/180
UCS-TC-batch17-AE_head-success|2025-10-24 17:35:50|0:00:56|60.6%|109/180
UCS-TC-batch17-Gaussian-success|2025-10-24 17:36:25|0:00:35|61.1%|110/180
UCS-TC-batch18-None-success|2025-10-24 17:36:56|0:00:31|61.7%|111/180
UCS-TC-batch18-AE_head-success|2025-10-24 17:37:51|0:00:54|62.2%|112/180
UCS-TC-batch18-Gaussian-success|2025-10-24 17:38:28|0:00:36|62.8%|113/180
UCS-TC-batch19-None-success|2025-10-24 17:38:58|0:00:30|63.3%|114/180
UCS-TC-batch19-AE_head-success|2025-10-24 17:39:53|0:00:55|63.9%|115/180
UCS-TC-batch19-Gaussian-success|2025-10-24 17:40:31|0:00:37|64.4%|116/180
UCS-TC-batch20-None-success|2025-10-24 17:41:03|0:00:32|65.0%|117/180
UCS-TC-batch20-AE_head-success|2025-10-24 17:41:59|0:00:55|65.6%|118/180
UCS-TC-batch20-Gaussian-success|2025-10-24 17:42:35|0:00:36|66.1%|119/180
KICH-TC-batch1-None-success|2025-10-24 17:43:09|0:00:34|66.7%|120/180
KICH-TC-batch1-AE_head-success|2025-10-24 17:44:09|0:00:59|67.2%|121/180
KICH-TC-batch1-Gaussian-success|2025-10-24 17:44:54|0:00:44|67.8%|122/180
KICH-TC-batch2-None-success|2025-10-24 17:45:27|0:00:33|68.3%|123/180
KICH-TC-batch2-AE_head-success|2025-10-24 17:46:27|0:01:00|68.9%|124/180
KICH-TC-batch2-Gaussian-success|2025-10-24 17:47:07|0:00:39|69.4%|125/180
KICH-TC-batch3-None-success|2025-10-24 17:47:39|0:00:32|70.0%|126/180
KICH-TC-batch3-AE_head-success|2025-10-24 17:48:39|0:01:00|70.6%|127/180
KICH-TC-batch3-Gaussian-success|2025-10-24 17:49:20|0:00:40|71.1%|128/180
KICH-TC-batch4-None-success|2025-10-24 17:49:54|0:00:34|71.7%|129/180
KICH-TC-batch4-AE_head-success|2025-10-24 17:50:56|0:01:01|72.2%|130/180
KICH-TC-batch4-Gaussian-success|2025-10-24 17:51:37|0:00:40|72.8%|131/180
KICH-TC-batch5-None-success|2025-10-24 17:52:11|0:00:33|73.3%|132/180
KICH-TC-batch5-AE_head-success|2025-10-24 17:53:14|0:01:03|73.9%|133/180
KICH-TC-batch5-Gaussian-success|2025-10-24 17:53:56|0:00:41|74.4%|134/180
KICH-TC-batch6-None-success|2025-10-24 17:54:28|0:00:32|75.0%|135/180
KICH-TC-batch6-AE_head-success|2025-10-24 17:55:27|0:00:58|75.6%|136/180
KICH-TC-batch6-Gaussian-success|2025-10-24 17:56:08|0:00:40|76.1%|137/180
KICH-TC-batch7-None-success|2025-10-24 17:56:42|0:00:33|76.7%|138/180
KICH-TC-batch7-AE_head-success|2025-10-24 17:57:47|0:01:05|77.2%|139/180
KICH-TC-batch7-Gaussian-success|2025-10-24 17:58:29|0:00:41|77.8%|140/180
KICH-TC-batch8-None-success|2025-10-24 17:59:04|0:00:34|78.3%|141/180
KICH-TC-batch8-AE_head-success|2025-10-24 18:00:06|0:01:02|78.9%|142/180
KICH-TC-batch8-Gaussian-success|2025-10-24 18:00:48|0:00:42|79.4%|143/180
KICH-TC-batch9-None-success|2025-10-24 18:01:22|0:00:33|80.0%|144/180
KICH-TC-batch9-AE_head-success|2025-10-24 18:02:22|0:01:00|80.6%|145/180
KICH-TC-batch9-Gaussian-success|2025-10-24 18:03:04|0:00:41|81.1%|146/180
KICH-TC-batch10-None-success|2025-10-24 18:03:38|0:00:34|81.7%|147/180
KICH-TC-batch10-AE_head-success|2025-10-24 18:04:38|0:01:00|82.2%|148/180
KICH-TC-batch10-Gaussian-success|2025-10-24 18:05:19|0:00:40|82.8%|149/180
KICH-TC-batch11-None-success|2025-10-24 18:05:53|0:00:33|83.3%|150/180
KICH-TC-batch11-AE_head-success|2025-10-24 18:06:55|0:01:02|83.9%|151/180
KICH-TC-batch11-Gaussian-success|2025-10-24 18:07:36|0:00:40|84.4%|152/180
KICH-TC-batch12-None-success|2025-10-24 18:08:09|0:00:33|85.0%|153/180
KICH-TC-batch12-AE_head-success|2025-10-24 18:09:08|0:00:58|85.6%|154/180
KICH-TC-batch12-Gaussian-success|2025-10-24 18:09:47|0:00:39|86.1%|155/180
KICH-TC-batch13-None-success|2025-10-24 18:10:20|0:00:33|86.7%|156/180
KICH-TC-batch13-AE_head-success|2025-10-24 18:11:21|0:01:00|87.2%|157/180
KICH-TC-batch13-Gaussian-success|2025-10-24 18:12:06|0:00:45|87.8%|158/180
KICH-TC-batch14-None-success|2025-10-24 18:12:38|0:00:32|88.3%|159/180
KICH-TC-batch14-AE_head-success|2025-10-24 18:13:40|0:01:01|88.9%|160/180
KICH-TC-batch14-Gaussian-success|2025-10-24 18:14:22|0:00:41|89.4%|161/180
KICH-TC-batch15-None-success|2025-10-24 18:14:55|0:00:33|90.0%|162/180
KICH-TC-batch15-AE_head-success|2025-10-24 18:15:56|0:01:01|90.6%|163/180
KICH-TC-batch15-Gaussian-success|2025-10-24 18:16:38|0:00:41|91.1%|164/180
KICH-TC-batch16-None-success|2025-10-24 18:17:11|0:00:33|91.7%|165/180
KICH-TC-batch16-AE_head-success|2025-10-24 18:18:12|0:01:00|92.2%|166/180
KICH-TC-batch16-Gaussian-success|2025-10-24 18:18:53|0:00:41|92.8%|167/180
KICH-TC-batch17-None-success|2025-10-24 18:19:27|0:00:33|93.3%|168/180
KICH-TC-batch17-AE_head-success|2025-10-24 18:20:29|0:01:01|93.9%|169/180
KICH-TC-batch17-Gaussian-success|2025-10-24 18:21:10|0:00:40|94.4%|170/180
KICH-TC-batch18-None-success|2025-10-24 18:21:43|0:00:33|95.0%|171/180
KICH-TC-batch18-AE_head-success|2025-10-24 18:22:46|0:01:02|95.6%|172/180
KICH-TC-batch18-Gaussian-success|2025-10-24 18:23:29|0:00:42|96.1%|173/180
KICH-TC-batch19-None-success|2025-10-24 18:24:03|0:00:33|96.7%|174/180
KICH-TC-batch19-AE_head-success|2025-10-24 18:25:08|0:01:04|97.2%|175/180
KICH-TC-batch19-Gaussian-success|2025-10-24 18:25:51|0:00:43|97.8%|176/180
KICH-TC-batch20-None-success|2025-10-24 18:26:24|0:00:33|98.3%|177/180
KICH-TC-batch20-AE_head-success|2025-10-24 18:27:21|0:00:56|98.9%|178/180
KICH-TC-batch20-Gaussian-success|2025-10-24 18:28:00|0:00:38|99.4%|179/180
====================================================================================================
实验完成时间: 2025-10-24 18:28:00
总实验数: 180
已完成实验数: 180
完成率: 100.0%
