hsa.let.7a.1,hsa.let.7a.2,hsa.let.7a.3,hsa.let.7b,hsa.let.7c,hsa.let.7d,hsa.let.7e,hsa.let.7f.1,hsa.let.7f.2,hsa.let.7g,hsa.let.7i,hsa.mir.100,hsa.mir.101.1,hsa.mir.101.2,hsa.mir.103a.1,hsa.mir.103a.2,hsa.mir.106a,hsa.mir.106b,hsa.mir.107,hsa.mir.10a,hsa.mir.10b,hsa.mir.1180,hsa.mir.122,hsa.mir.1247,hsa.mir.125a,hsa.mir.125b.1,hsa.mir.125b.2,hsa.mir.126,hsa.mir.1266,hsa.mir.1269a,hsa.mir.127,hsa.mir.128.1,hsa.mir.128.2,hsa.mir.1287,hsa.mir.1295b,hsa.mir.1296,hsa.mir.1301,hsa.mir.1306,hsa.mir.1307,hsa.mir.130a,hsa.mir.130b,hsa.mir.132,hsa.mir.134,hsa.mir.136,hsa.mir.139,hsa.mir.140,hsa.mir.141,hsa.mir.142,hsa.mir.143,hsa.mir.144,hsa.mir.145,hsa.mir.1468,hsa.mir.146a,hsa.mir.146b,hsa.mir.148a,hsa.mir.148b,hsa.mir.149,hsa.mir.150,hsa.mir.151a,hsa.mir.152,hsa.mir.153.2,hsa.mir.154,hsa.mir.155,hsa.mir.15a,hsa.mir.15b,hsa.mir.16.1,hsa.mir.16.2,hsa.mir.17,hsa.mir.181a.1,hsa.mir.181a.2,hsa.mir.181b.1,hsa.mir.181b.2,hsa.mir.181c,hsa.mir.181d,hsa.mir.182,hsa.mir.183,hsa.mir.185,hsa.mir.186,hsa.mir.188,hsa.mir.18a,hsa.mir.191,hsa.mir.192,hsa.mir.193a,hsa.mir.193b,hsa.mir.194.1,hsa.mir.194.2,hsa.mir.195,hsa.mir.196b,hsa.mir.197,hsa.mir.1976,hsa.mir.199a.1,hsa.mir.199a.2,hsa.mir.199b,hsa.mir.19a,hsa.mir.19b.1,hsa.mir.19b.2,hsa.mir.200a,hsa.mir.200b,hsa.mir.200c,hsa.mir.203a,hsa.mir.204,hsa.mir.20a,hsa.mir.20b,hsa.mir.21,hsa.mir.210,hsa.mir.214,hsa.mir.215,hsa.mir.216a,hsa.mir.216b,hsa.mir.217,hsa.mir.218.1,hsa.mir.218.2,hsa.mir.219a.1,hsa.mir.22,hsa.mir.221,hsa.mir.222,hsa.mir.223,hsa.mir.224,hsa.mir.2355,hsa.mir.23a,hsa.mir.23b,hsa.mir.24.1,hsa.mir.24.2,hsa.mir.25,hsa.mir.26a.1,hsa.mir.26a.2,hsa.mir.26b,hsa.mir.27a,hsa.mir.27b,hsa.mir.28,hsa.mir.29a,hsa.mir.29b.1,hsa.mir.29b.2,hsa.mir.29c,hsa.mir.301a,hsa.mir.3065,hsa.mir.3074,hsa.mir.30a,hsa.mir.30b,hsa.mir.30c.1,hsa.mir.30c.2,hsa.mir.30d,hsa.mir.30e,hsa.mir.32,hsa.mir.320a,hsa.mir.324,hsa.mir.326,hsa.mir.328,hsa.mir.330,hsa.mir.331,hsa.mir.335,hsa.mir.337,hsa.mir.338,hsa.mir.339,hsa.mir.33a,hsa.mir.33b,hsa.mir.340,hsa.mir.342,hsa.mir.345,hsa.mir.34a,hsa.mir.3607,hsa.mir.361,hsa.mir.3613,hsa.mir.3615,hsa.mir.362,hsa.mir.363,hsa.mir.3653,hsa.mir.365a,hsa.mir.365b,hsa.mir.3677,hsa.mir.369,hsa.mir.370,hsa.mir.374a,hsa.mir.374b,hsa.mir.375,hsa.mir.376c,hsa.mir.378a,hsa.mir.378c,hsa.mir.379,hsa.mir.381,hsa.mir.382,hsa.mir.409,hsa.mir.410,hsa.mir.411,hsa.mir.412,hsa.mir.421,hsa.mir.423,hsa.mir.424,hsa.mir.425,hsa.mir.429,hsa.mir.431,hsa.mir.432,hsa.mir.4326,hsa.mir.450a.1,hsa.mir.450a.2,hsa.mir.450b,hsa.mir.451a,hsa.mir.452,hsa.mir.454,hsa.mir.455,hsa.mir.4661,hsa.mir.4662a,hsa.mir.4677,hsa.mir.4772,hsa.mir.483,hsa.mir.484,hsa.mir.485,hsa.mir.486.1,hsa.mir.486.2,hsa.mir.487b,hsa.mir.493,hsa.mir.495,hsa.mir.497,hsa.mir.500a,hsa.mir.500b,hsa.mir.501,hsa.mir.502,hsa.mir.503,hsa.mir.505,hsa.mir.511,hsa.mir.532,hsa.mir.539,hsa.mir.542,hsa.mir.5589,hsa.mir.574,hsa.mir.576,hsa.mir.582,hsa.mir.584,hsa.mir.589,hsa.mir.590,hsa.mir.598,hsa.mir.616,hsa.mir.618,hsa.mir.625,hsa.mir.628,hsa.mir.629,hsa.mir.651,hsa.mir.652,hsa.mir.653,hsa.mir.654,hsa.mir.660,hsa.mir.664a,hsa.mir.664b,hsa.mir.671,hsa.mir.6715a,hsa.mir.675,hsa.mir.7.1,hsa.mir.708,hsa.mir.744,hsa.mir.758,hsa.mir.766,hsa.mir.769,hsa.mir.874,hsa.mir.885,hsa.mir.889,hsa.mir.9.1,hsa.mir.9.2,hsa.mir.9.3,hsa.mir.92a.1,hsa.mir.92a.2,hsa.mir.92b,hsa.mir.93,hsa.mir.942,hsa.mir.95,hsa.mir.96,hsa.mir.98,hsa.mir.99a,hsa.mir.99b,samples,groups
71002,70929,71046,43487,24645,1235,6265,40280,40727,4114,1406,68323,41785,42350,57655,57623,8,1751,472,187312,24602,23,58456,50,1483,1710,1918,11370,28,1034,5112,464,324,40,33,21,16,15,3550,218,128,512,1884,108,427,5728,8,3096,1142950,405,7724,74,272,4480,319935,572,41,1256,16548,3549,31,29,763,209,1255,586,542,987,1538,5372,387,364,116,30,75031,23131,173,1474,18,13,1855,124665,1289,925,28522,30037,583,15,1307,15,4753,7680,9179,28,86,89,80,95,109,682,82,375,18,365893,171,142,1934,2170,1474,47231,136,114,10,1432915,212,38,832,1012,88,7030,5058,5443,5173,37598,10255,10448,6977,3647,11134,22027,48176,485,513,10260,9,26,17,197101,2481,1605,2183,52529,100523,195,1368,82,56,155,63,60,493,316,355,72,124,23,388,247,43,442,68,1433,46,10,42,15,8,1604,1604,11,98,35,6481,369,6541,56,19030,173,6173,257,113,148,90,93,41,13,498,1241,1577,17,46,54,9,20,31,77,1348,1989,14,3328,11,355,39,37,16,186,31,106,136,25,146,50,124,582,14,58,43,20,228,45,2691,65,2626,26,547,29,657,271,255,32,61,9,8,356,34,246,14,59,12,158,88,173,20,14,17,88,54,19,96,134,39,105,24,734,105,3544,3418,3497,14250,13130,66,8006,12,25,53,195,5327,66420,TCGA.BC.A10T,NO
44440,44092,44279,37435,4036,2370,1304,27577,29112,4294,700,24558,56892,58903,91738,91542,30,874,325,27959,89177,125,45934,2,1032,891,890,17108,16,9048,275,404,186,88,157,18,45,16,3891,181,202,218,93,23,282,12381,54,598,53236,106,3036,87,14,15366,579304,414,9,144,4984,390,5,8,436,2167,946,890,965,10789,775,1149,147,161,44,13,51274,8230,407,1288,19,42,3453,342248,5174,1235,84880,103888,180,19,1642,3,858,1146,791,591,1595,1604,21,30,449,11445,50,12805,32,1989454,1601,19,388,10,4,368,74,78,84,651361,261,84,134,1783,201,2038,8901,2051,1882,47045,5061,5216,4219,833,12635,27515,15185,1203,1463,9612,23,131,16,170079,2502,5190,5365,41519,128277,157,7328,85,6,218,34,48,502,14,964,478,221,43,251,783,43,527,553,3052,120,20,449,11,159,1043,1039,0,13,5,7524,371,2499,1,3553,58,283,20,3,27,4,3,13,7,927,99,1034,4,5,7,0,9,8,22,420,2085,50,1494,61,1594,66,1,65,103,6,37,36,3,7,6,75,3719,71,185,71,12,415,8,5165,7,360,111,672,264,153,121,782,132,25,85,31,106,46,132,19,33,10,13,670,253,26,19,14,750,245,11,93,10,49,78,44,4120,10,15497,15388,15447,99736,78934,35,36298,69,24,37,186,1249,22920,TCGA.FV.A496,YES
66661,66651,66663,42270,18204,2666,1322,32610,34938,5174,761,21194,43869,45338,80254,80709,18,2391,722,16569,120959,152,125399,4,436,1660,1742,8290,37,2785,452,1102,487,6,97,17,7,42,4301,73,188,121,133,15,518,9362,10,1127,33115,747,824,27,82,455,638336,802,51,233,8994,1291,4,4,84,1333,2466,1074,1044,9260,1270,1982,171,177,32,7,3841,1285,629,2093,12,119,2939,228920,5134,1459,64048,72949,409,10,3499,20,381,586,492,281,581,474,65,62,146,794,28,5819,28,394483,2357,6,149,3608,4448,211716,13,14,37,506533,180,47,69,1416,211,1842,10468,2163,1929,52762,3475,3457,4142,555,11565,22300,13763,541,561,2955,16,22,50,20799,2072,2350,2365,62781,102092,287,845,129,2,92,21,63,387,37,863,122,289,19,400,79,122,525,376,3014,37,22,77,15,30,950,937,6,11,9,9481,568,6942,6,9558,95,370,52,21,32,23,4,17,14,902,316,881,7,14,19,26,4,9,34,1949,3258,20,4208,20,456,101,3,11,204,6,340,315,9,20,10,221,1764,35,234,50,17,461,12,8102,5,727,66,1273,46,98,126,600,152,38,37,43,31,48,569,48,53,168,16,510,186,11,35,11,184,95,2,264,9,95,70,124,4161,32,119,116,117,53859,42745,8,46038,71,1,2,209,4795,8943,TCGA.DD.AACV,NO
27265,27420,27783,32045,2475,2389,13633,9802,9749,2628,2252,10673,16385,16394,67509,66949,35,3129,454,119855,148730,78,446,16,8882,377,412,49488,5,29,8230,547,377,139,0,73,160,173,15373,175,604,1014,11763,403,450,12775,26,66279,278577,453,4348,31,1157,5138,28539,797,80,3620,13820,1311,49,98,19784,1228,2124,1897,1942,2265,8322,10869,1379,1008,173,22,8368,6373,831,1346,54,68,3389,2739,5490,944,375,425,34,286,3919,116,2587,4089,4444,88,188,175,32,14,168,53,0,729,61,1709537,6594,17,18,2,1,159,475,442,4,793472,2603,1145,1872,1162,802,23481,1711,4322,4489,48321,2441,2466,2770,13063,2709,20997,39883,2505,2473,3374,109,24,68,42823,680,765,995,12236,61379,174,2865,674,135,291,275,202,687,924,1826,136,98,12,140,1268,108,868,146,2238,108,29,74,24,32,468,472,44,158,279,6310,417,161,99,5564,50,21457,1076,576,640,418,145,111,27,1812,715,732,2,613,382,105,40,53,121,1688,1350,82,2616,54,213,95,38,1,641,71,359,377,127,280,90,33,2761,51,874,89,134,504,517,7736,237,1940,0,623,97,1054,293,918,131,134,28,1,2628,59,1488,11,279,170,1500,341,71,17,92,1,78,177,86,683,843,181,217,242,10,479,4156,4224,4241,16748,15922,326,28321,101,8,10,200,739,537561,TCGA.CC.A3M9,NO
35312,35127,35222,80154,17779,1075,1162,20588,20282,2230,857,4432,24361,24362,13897,13885,22,1320,423,8597,48812,46,30706,9,286,1741,2073,5192,23,7,894,207,125,11,0,1,28,18,6618,289,30,188,270,60,53,3274,30,7877,54281,306,650,103,386,1688,306184,816,3,3745,5673,533,10,9,762,335,293,678,683,14044,2516,2399,281,232,56,11,3513,549,323,632,5,215,411,118135,3021,260,18423,21528,34,997,524,33,531,863,1012,856,1566,1314,99,88,110,6243,18,9900,17,1472262,3469,12,2147,1,0,15,19,17,12,397653,973,203,203,171,62,2955,1008,714,720,21001,5876,5847,826,967,1903,14613,15294,612,704,5966,11,29,19,9530,893,400,422,30232,85988,281,578,74,9,34,46,117,112,25,746,84,68,30,109,193,33,534,36,1507,22,53,38,12,14,136,133,15,19,14,2084,80,1057,3,1122,30,705,66,29,33,29,4,27,4,357,144,116,5,22,23,1,5,2,28,818,659,13,1029,1,58,29,63,711,310,2,333,348,4,16,3,27,579,17,147,53,22,43,45,3453,10,283,71,95,47,42,65,196,55,25,38,11,274,15,234,14,103,9,28,225,29,0,18,2,519,45,6,50,31,32,75,161,708,32,176,140,175,145595,130167,56,5353,19,3,5,59,7164,9198,TCGA.UB.A7MF,YES
86904,86710,86736,52380,7191,4658,9092,64635,67612,6163,2435,32710,47362,47969,111476,111615,47,2293,1022,138841,573383,131,61264,121,3827,1356,1459,65990,27,1161,3380,830,462,94,87,9,105,66,14692,303,222,962,1177,195,1091,18087,29,20713,557131,383,15653,35,862,4976,671591,2373,48,7469,21628,2652,68,37,2778,1601,1531,1271,1343,4923,7048,9196,1217,1084,436,117,2426,703,1265,3512,46,71,2465,195306,3762,932,52967,58237,250,732,2712,46,9542,13887,13866,138,415,385,313,240,136,22810,81,2064,161,2559155,189,199,399,39,33,1784,195,243,27,1767904,1074,226,1586,127,337,14880,10714,4709,4518,52369,6429,6492,4118,5455,12018,27855,42162,2973,3129,13932,48,36,59,132514,5329,2445,2747,140642,80652,339,2622,241,23,178,137,114,208,153,4057,195,219,45,298,1173,32,1205,261,3402,69,43,217,69,28,870,868,30,49,45,10955,672,3122,30,4310,49,2926,245,108,161,119,33,29,24,1316,1075,537,35,38,36,72,42,30,112,1056,264,53,2414,40,124,352,121,23,591,24,131,138,36,112,59,158,2439,62,591,109,105,894,51,16576,27,2635,42,747,145,1001,345,1338,172,163,108,22,600,54,920,11,216,75,108,662,824,21,44,63,365,89,226,368,92,533,146,184,4772,109,991,958,942,35865,30793,252,34742,38,46,2,703,2435,99678,TCGA.DD.AAVV,NO
64721,64309,64767,58352,7797,2280,3986,39587,39985,5162,1201,19621,44572,44863,49645,49617,22,1701,1188,53350,16243,53,93400,133,824,592,626,16998,121,5,3063,665,538,41,292,16,44,55,11038,188,163,306,1130,197,707,8092,20,7705,268402,267,3332,87,697,12058,252505,1844,25,3124,22138,1754,18,19,623,628,847,743,809,3121,1870,4205,426,408,73,16,60380,19225,854,2077,23,45,2132,361785,1814,792,48282,54740,120,1059,1127,34,2762,4549,5139,151,337,321,189,199,75,4976,113,938,54,1714645,180,86,3659,2,3,142,69,66,28,984985,1209,285,881,1683,106,5996,4332,3111,3143,37085,5885,5981,4488,3202,9144,25194,61845,3094,3342,18833,32,34,17,95844,2123,1195,1247,63918,100506,657,945,209,11,157,154,229,258,191,699,209,298,169,227,422,59,3007,94,1932,67,33,108,22,26,414,404,33,51,43,4323,411,10469,18,3832,163,3420,166,74,110,60,43,36,17,736,622,375,23,42,43,11,20,24,91,648,3098,19,1926,103,301,115,106,6,292,28,99,75,22,87,50,62,1575,44,323,111,61,549,69,6533,20,1323,94,385,306,714,310,1385,154,51,60,40,375,60,508,10,350,31,154,274,556,48,14,578,60,122,21,230,79,153,92,33,2893,90,538,557,530,22135,20031,80,11606,36,37,66,285,1351,44440,TCGA.ZP.A9CV,NO
74439,75032,74379,42885,12411,1735,4614,48908,49468,6361,1527,89591,90903,91408,30629,31032,61,2775,1064,48137,151726,47,145839,22,730,1320,1446,20894,66,4593,1299,931,711,51,48,4,22,26,6658,191,274,306,380,99,339,12246,32,3683,345566,3596,2964,3,155,12498,650302,1265,24,1139,8753,829,23,7,310,565,840,989,968,5558,2001,3277,308,286,100,17,38618,7373,630,1432,16,121,1273,236461,2980,2083,38763,43317,94,149,1308,21,1724,2912,3516,347,605,540,67,87,126,1008,622,2356,167,1212842,2472,30,5656,274,318,12540,32,42,38,946576,956,232,371,960,52,6882,5155,3679,3547,39745,7101,6992,5370,3127,11344,19562,42865,1450,1612,10141,17,107,30,65374,1681,1186,1241,37117,87931,599,2717,73,33,141,39,129,224,55,1436,306,39,3,209,333,104,2878,90,2969,45,32,76,102,11,770,762,19,30,22,4528,358,1857,5,11575,339,1444,111,40,56,37,14,2,14,942,592,501,6,12,12,10,16,21,51,13377,3375,31,1132,24,181,43,32,3,269,13,1706,1741,14,35,22,47,861,27,188,65,84,269,39,4492,6,1100,142,587,69,715,273,604,98,73,26,33,395,56,373,28,124,36,41,318,186,23,18,529,26,109,19,109,37,65,71,50,847,40,1848,1908,1889,45815,40557,55,11847,32,4,61,242,4315,28492,TCGA.4R.AA8I,NO
26324,26023,25749,8463,4075,1052,1507,15445,16759,2651,432,2892,53013,53328,31738,31802,11,879,310,12989,94465,38,142651,1,445,627,600,18272,3,22,726,242,119,69,161,6,9,26,4207,79,328,552,92,39,260,9096,18,1429,55130,185,1078,30,90,25055,282586,502,6,118,10321,695,37,5,323,773,441,494,529,5700,1301,1500,208,203,43,9,2789,1129,420,977,7,21,877,191986,3598,685,52267,56923,32,1,1324,11,238,334,379,160,524,507,0,4,126,72,35,5282,23,3440178,2452,7,296,4,9,576,9,8,30,332861,231,32,168,533,35,11154,3219,1514,1476,21521,2103,2231,1746,2014,3154,8679,33715,1122,1163,7875,25,191,24,69434,1944,1553,1594,67473,85642,173,397,55,3,87,16,27,170,20,1021,72,265,18,76,128,19,1948,496,1593,23,13,104,8,43,497,496,4,14,13,3961,385,2465,4,6764,55,569,89,24,26,28,5,13,12,955,266,385,1,9,7,12,7,6,18,484,711,23,2046,42,125,101,10,10,116,3,92,110,5,8,10,13,689,12,92,38,19,72,24,8170,13,566,10,402,51,900,125,374,40,44,26,70,87,24,242,8,32,6,28,245,126,5,9,145,134,20,1,64,5,50,58,9,423,17,139,156,145,67500,52794,13,16537,24,6,6,107,2384,14487,TCGA.DD.AACJ,NO
22223,22184,22026,12862,9889,474,978,13118,13596,2097,286,12151,17135,17355,17426,17527,6,637,510,6109,22580,26,70680,4,419,936,1111,5041,3,20,210,197,117,15,23,3,1,8,2025,78,78,169,44,38,325,3187,19,2857,19643,250,475,35,188,1567,313904,343,1,1049,2583,595,11,2,244,443,155,231,226,3720,1371,1895,147,162,26,5,357,119,297,394,2,20,446,77428,1608,678,23899,27530,54,51,274,7,718,1031,993,122,286,212,48,48,116,2187,21,1987,8,358807,271,10,146,0,0,18,13,15,18,302594,361,97,163,688,11,2400,2107,888,911,9294,1649,1593,1384,975,2712,5689,14412,753,776,3358,12,11,5,8875,1173,535,574,42549,26370,99,150,82,0,97,27,49,141,15,426,47,129,8,119,151,21,936,54,923,26,9,69,3,10,375,375,1,7,7,1650,83,3185,3,1523,23,146,23,7,18,9,2,0,4,266,88,219,5,3,5,2,6,2,19,814,857,11,998,5,54,14,13,1,119,3,85,101,3,8,5,25,495,11,87,39,13,62,14,4081,7,293,33,157,28,160,50,83,32,12,3,12,63,10,45,4,16,7,10,291,112,10,7,4,51,7,1,43,7,20,56,4,280,18,25,31,22,18679,14899,7,7006,1,10,0,81,4382,4814,TCGA.3K.AAZ8,NO
110323,110217,110372,74832,64411,2289,2285,69560,70491,4902,954,46319,111200,110911,43328,43984,7,1783,1665,48151,127087,52,158675,22,442,2138,2798,13258,33,26,525,727,576,375,155,3,49,36,8286,149,68,224,152,9,606,6277,11,1470,230812,486,1184,163,100,5775,1343733,1221,4,555,37683,4113,6,2,241,726,860,1410,1362,1376,907,1617,190,154,29,24,19596,4187,472,1331,18,15,2056,203833,2503,1133,41983,44004,421,46,449,19,254,470,572,33,114,73,675,476,62,819,1515,483,8,536065,116,7,5411,0,0,17,10,10,24,573932,1307,208,179,678,55,4500,6228,2443,2406,36483,21141,21070,6362,1442,5889,26831,65277,1508,1446,36638,4,190,18,92238,2781,569,652,76510,184272,1345,991,221,14,88,72,72,187,14,414,50,168,42,325,94,41,2960,646,2551,74,15,54,10,40,1152,1138,51,4,5,14574,628,920,5,2374,89,538,28,11,13,9,7,10,11,706,338,457,77,7,12,0,6,1,19,1130,2363,22,5097,25,453,48,13,160,186,0,118,138,1,6,2,45,921,17,211,88,13,537,72,6638,1,596,72,338,50,189,261,253,90,26,10,39,62,39,118,3,34,7,17,199,303,27,15,18,26,92,2,150,4,1,71,24,181,13,166,194,184,12245,10079,5,9014,8,16,11,255,11968,22292,TCGA.EP.A12J,YES
147122,146790,146711,200259,52579,4528,7388,73780,73386,8710,2948,128174,180286,181126,36888,37244,65,3071,1478,373846,27888,124,263553,185,5167,3709,4348,45075,53,3,5025,908,753,403,220,12,95,100,16856,1065,86,513,2275,329,2343,9658,482,32282,865076,5270,17062,86,746,8195,647226,2156,53,9990,20704,4322,241,41,1864,785,1621,2846,2940,3701,3354,7274,811,677,267,62,22786,6773,662,2814,24,72,6022,437807,7791,1273,53943,57125,1154,69,1437,78,17359,30236,38879,71,260,207,3946,2379,1526,7351,166,1115,38,558615,1143,306,14955,60,79,1732,113,103,28,1234228,849,243,1068,108,105,18689,12212,6072,5658,29963,26325,26136,13724,6813,17206,33974,88230,2680,2973,42336,38,610,25,281189,3268,1616,2100,70391,312118,708,2335,228,104,292,161,329,434,244,1427,128,419,288,435,710,145,1072,3307,3939,80,57,54,52,93,661,646,25,87,41,11223,679,69066,61,11362,355,8196,338,115,128,83,134,19,23,766,7133,553,455,19,33,0,72,53,218,14917,692,43,9203,7,173,78,103,368,451,16,1132,1151,38,84,35,313,654,19,240,80,50,1007,132,4734,35,3879,342,727,108,1526,322,320,188,153,47,26,374,266,566,9,189,45,223,184,176,34,32,37,1011,110,65,237,121,97,113,477,2106,128,278,281,298,32087,29883,89,7937,36,44,22,471,10104,113164,TCGA.EP.A12J,YES
78171,78198,78157,65064,8164,3388,4769,49561,51470,6357,1729,23658,43126,43451,90765,90173,33,3375,642,66314,25657,126,197644,156,2145,1007,1026,31052,11,12,2840,794,459,49,36,25,37,33,8332,555,173,370,766,280,879,8815,32,16087,210093,443,4889,37,2472,5566,329400,1115,9,5741,13125,1351,27,32,1436,2477,1788,1905,1949,8070,5834,11035,893,900,326,66,25522,11980,774,1931,9,125,2470,205662,3915,470,55243,61520,377,22,1204,20,5161,8237,9287,691,1032,1015,811,828,209,3937,100,5912,84,1656210,2491,103,200,4,9,205,116,96,21,788941,893,238,2219,830,219,8172,8122,3994,3885,48837,6509,6422,5157,3843,13752,15453,28002,1409,1508,8407,39,48,51,111297,3171,1585,1866,76403,63118,461,1478,218,7,88,68,160,456,93,2474,154,111,35,276,587,133,956,226,2653,102,66,109,33,37,510,514,3,83,44,5464,596,10881,34,1998,27,2594,178,136,111,78,39,31,30,1099,557,688,113,31,31,23,28,28,151,937,2174,69,4548,7,329,124,46,12,263,17,227,208,26,80,33,152,1436,38,235,93,87,168,35,6585,33,1558,70,557,76,1827,239,405,145,74,68,52,209,98,519,22,76,23,64,531,218,12,23,14,128,65,59,244,79,63,100,202,3824,165,144,117,141,63662,55920,85,43685,45,24,61,419,2288,39389,TCGA.DD.AADP,NO
74562,74166,75273,60474,5627,5714,8099,47748,48561,4691,1765,20137,51604,51971,179073,179704,22,2436,1248,118028,18326,163,99462,1668,2713,939,1049,30572,22,3,4620,864,505,150,32,16,63,59,17474,233,107,414,1196,151,699,6556,33,15244,201074,157,5020,821,1449,3241,339473,1536,80,14064,17763,2919,25,26,1553,1644,749,1032,999,9190,10614,26053,1339,1351,218,54,49284,35208,868,1560,21,107,1434,154058,3435,209,56422,61859,205,162,1501,34,6141,8873,8811,215,546,496,6815,5548,385,3015,70,4759,40,1217770,224,115,169,78,63,5738,114,137,21,765447,1590,222,981,804,100,8729,16289,4154,4141,43805,6252,6236,3726,2594,17532,18728,28095,1691,1926,10604,48,578,20,74704,3464,994,1231,134982,46365,377,2367,370,15,144,88,164,566,171,4133,127,67,9,354,853,31,1291,354,2264,70,42,176,16,27,362,367,11,61,61,4620,423,125439,30,1602,22,2831,280,157,252,142,41,34,26,955,525,662,1638,61,66,35,35,18,94,507,823,38,7638,5,149,109,91,13409,164,24,83,83,39,97,48,167,3067,49,534,129,90,88,44,20063,40,1970,6,746,58,353,295,760,82,72,10,8,383,29,271,18,138,50,173,922,265,10,31,442,120,39,78,280,105,166,119,157,2463,123,141,149,149,66709,57213,141,44500,23,63,73,388,2037,85165,TCGA.DD.AADI,NO
55001,55159,55163,34532,12042,1890,5275,45324,46397,6514,1263,29540,36768,36661,26442,26738,11,2082,755,61377,38002,111,231673,462,2308,1433,1620,42182,5,17,1396,602,458,338,48,17,37,65,5783,152,52,317,377,36,455,3825,31,6167,414581,436,4130,186,185,10741,636130,769,114,959,21153,4636,53,3,619,541,1236,1170,1254,854,1411,2386,313,257,129,12,4004,1553,278,1016,11,15,2446,127190,1506,711,18254,19347,350,86,1537,19,1514,2492,3077,10,58,57,27,25,177,5064,463,323,7,471171,132,63,1323,9,5,108,42,25,5,406471,536,172,239,753,117,6912,4227,2310,2212,29142,9762,9713,7015,3140,5565,10252,58589,1820,1775,12257,22,157,15,57973,2240,419,539,22837,39572,870,1026,120,40,90,49,108,125,48,2074,100,515,198,294,227,172,2294,2655,1528,70,12,50,4,57,635,630,57,13,22,7834,961,498,13,8124,106,1294,41,22,46,20,11,22,22,689,1004,615,10,13,16,8,22,26,35,3194,1857,26,4869,46,1174,26,12,29,215,4,190,187,7,24,6,99,385,8,97,30,13,318,45,3177,11,970,24,435,22,274,150,161,64,99,7,43,164,55,90,5,64,13,76,99,75,9,23,319,35,24,21,76,30,10,38,54,197,30,1043,1085,1099,10982,9854,74,8273,10,38,8,371,3115,75073,TCGA.DD.A116,NO
30694,30716,31379,24528,12705,944,2179,16051,16985,2708,847,32612,88768,90769,42378,42185,29,1099,427,74653,7195,20,129007,38,1662,2165,2283,14392,6,0,1699,326,170,100,83,12,15,9,7304,537,55,109,504,309,1718,4401,54,11145,77290,1461,5446,171,238,6974,493865,536,22,2511,4052,779,20,27,591,913,429,713,737,5702,2696,4194,307,270,130,20,3969,840,355,1067,8,46,1482,170918,1874,769,29509,35498,187,30,916,43,6926,10136,9613,349,813,664,561,593,386,4882,77,3362,55,364215,1671,94,202,8,8,409,33,26,21,1128613,196,48,545,200,160,5150,6642,1598,1486,24284,3321,3375,3915,1455,8034,14804,24496,1153,1289,9548,30,438,16,145772,2832,2075,2421,32859,105222,188,961,94,13,106,22,80,384,83,3513,92,163,36,202,442,41,1095,126,1475,55,12,86,21,43,332,335,5,50,20,4164,179,26212,20,8195,128,1673,229,50,60,30,20,21,2,452,815,322,65,16,24,6,23,20,115,4676,274,17,3681,13,354,33,32,287,169,20,778,722,21,34,13,112,759,15,105,27,57,405,127,3385,12,1487,98,522,75,1103,140,143,85,66,41,18,145,31,163,19,39,29,100,340,205,22,13,57,892,51,17,113,74,38,42,185,1740,83,290,345,317,49254,41683,26,17205,16,13,8,103,4818,24610,TCGA.DD.A116,NO
33808,32925,33133,17699,17871,1262,1698,15302,16840,2360,641,42855,36139,36780,119836,119814,26,691,1206,44303,133321,11,118670,243,985,1226,1282,20293,2,2818,474,387,146,171,107,20,22,14,6176,133,112,239,124,43,745,7765,7,1828,101670,453,5000,111,135,4670,681589,556,11,363,11726,933,8,6,343,1247,501,402,420,3715,1454,1909,185,157,66,22,3004,925,202,1180,14,31,1718,97556,1244,834,33657,41124,46,12,738,3,881,1293,1048,219,526,500,131,128,100,1294,305,3269,32,618668,419,20,94,2,0,119,17,20,76,971668,710,118,391,2149,224,3135,7433,1546,1489,38979,2389,2382,2596,1236,6889,10855,27093,1504,1611,4365,23,75,10,123512,4334,1462,1677,126260,61793,312,850,69,2,99,21,56,93,24,1454,52,89,0,182,412,21,3620,183,1615,84,8,130,14,31,1559,1545,3,19,5,7471,303,164,5,2837,20,498,37,17,37,9,7,17,6,601,151,544,16,14,9,7,13,8,39,1420,1654,45,2936,26,160,85,12,17,144,3,106,112,2,9,4,34,2632,25,265,49,11,244,54,7276,6,558,14,365,80,264,130,382,59,23,33,41,78,24,35,9,28,13,18,526,310,11,12,304,31,51,2,168,8,14,30,31,1133,23,122,116,136,27592,21988,28,36596,7,25,5,161,3650,24824,TCGA.G3.A5SL,NO
